date,lastSyncTime,steps,distance,runDistance,calories
2016-12-11,1482603232,4267,2782,86,111
2016-12-12,1482603231,13909,9262,358,291
2016-12-13,1482603234,9744,7005,514,244
2016-12-14,1482603233,18838,13601,889,464
2016-12-15,1482603235,13645,9984,1534,340
2016-12-16,1482603256,22452,15995,2340,528
2016-12-17,1482603381,10979,7878,1262,264
2016-12-18,1482603381,19452,14814,0,495
2016-12-19,1482603383,13637,9741,2870,344
2016-12-20,1482603235,27032,19965,951,657
2016-12-21,1482603236,20437,14434,1647,482
2016-12-22,1482603236,12226,8799,677,292
2016-12-23,1482603237,21049,15788,1184,532
2016-12-24,1482751771,12603,9173,900,309
2016-12-25,1482751773,2753,1895,47,75
2016-12-26,1483043340,15457,10820,1769,352
2016-12-27,1483043342,20188,14165,1510,455
2016-12-28,1483043341,11157,8228,707,285
2016-12-29,1483385714,13039,9461,1333,310
2016-12-30,1483390956,16310,11830,4583,418
2016-12-31,1483385747,6426,4465,349,153
2017-01-01,1483385765,805,520,0,23
2017-01-02,1483390998,828,535,0,26
2017-01-03,1483551833,22320,16416,3508,570
2017-01-04,1483622527,17713,11524,46,339
2017-01-05,1484244395,6207,4515,224,164
2017-01-06,1484768576,1516,980,0,46
2017-01-07,1484768577,11295,8629,595,313
2017-01-08,1484768578,10440,7407,1935,252
2017-01-09,1484768578,14209,10290,2195,351
2017-01-10,1484768578,11725,8621,606,303
2017-01-11,1484768579,20166,14429,3719,502
2017-01-12,1484768580,23969,17019,3236,558
2017-01-13,1484768581,13294,9576,1157,327
2017-01-14,1484768579,10972,7930,1804,281
2017-01-15,1484768580,14802,10841,1072,359
2017-01-16,1484768582,23473,17310,859,579
2017-01-17,1484768582,14445,10497,230,350
2017-01-18,1485292083,16882,11759,172,379
2017-01-19,1485292083,13698,9166,856,299
2017-01-20,1485292085,17057,12219,808,404
2017-01-21,1485292082,3429,2396,437,94
2017-01-22,1485292083,3269,2122,42,88
2017-01-23,1485292084,13387,9284,430,307
2017-01-24,1485292084,13882,9397,1228,305
2017-01-25,1486066377,5230,3420,99,119
2017-01-26,0,0,0,0,0
2017-01-27,0,0,0,0,0
2017-01-28,0,0,0,0,0
2017-01-29,0,0,0,0,0
2017-01-30,0,0,0,0,0
2017-01-31,0,0,0,0,0
2017-02-01,0,0,0,0,0
2017-02-02,1486122359,55,36,0,2
2017-02-03,1486241821,5912,4146,183,143
2017-02-04,1486487335,834,539,0,25
2017-02-05,1486487335,5984,4231,259,146
2017-02-06,1486487334,9029,6495,789,229
2017-02-07,1486546365,11806,8605,783,293
2017-02-08,1487195749,10917,7834,891,265
2017-02-09,1487195747,9390,7169,113,255
2017-02-10,1487195750,7200,5045,924,174
2017-02-11,1487195749,19223,13597,1732,438
2017-02-12,1487195749,3540,2430,51,87
2017-02-13,1487195752,36318,26544,700,829
2017-02-14,1487195752,26012,18415,134,565
2017-02-15,1487621696,21264,15176,654,479
2017-02-16,1487621696,21099,15291,1183,499
2017-02-17,1487621697,17218,12160,88,373
2017-02-18,0,0,0,0,0
2017-02-19,0,0,0,0,0
2017-02-20,1488021977,20915,15347,258,483
2017-02-21,1488021977,23366,17019,248,549
2017-02-22,1488021979,32974,23637,576,729
2017-02-23,1488021978,6910,4805,550,159
2017-02-24,1488021978,4586,3192,782,119
2017-02-25,1488397406,903,584,0,27
2017-02-26,1488397407,5026,3500,803,131
2017-02-27,1488397406,22002,16204,286,542
2017-02-28,1488397408,20949,15337,302,508
2017-03-01,1488649260,18709,13264,874,435
2017-03-02,1488649259,9121,6764,26,222
2017-03-03,1488649261,23131,16709,482,532
2017-03-04,1489006509,18877,14055,1281,478
2017-03-05,1489006508,2968,2018,0,78
2017-03-06,1489006508,18119,12822,1184,420
2017-03-07,1489006510,8868,6569,615,231
2017-03-08,1489258060,12592,9285,188,300
2017-03-09,1489258059,16910,12835,1451,457
2017-03-10,1489258059,15071,10857,174,353
2017-03-11,1489356412,1146,741,0,34
2017-03-12,1489356411,1231,796,0,37
2017-03-13,1489986289,13076,9675,274,340
2017-03-14,1489986291,25369,17963,2812,588
2017-03-15,1489986291,11828,8189,1360,275
2017-03-16,1489986290,13386,9214,525,301
2017-03-17,1489986290,12221,8615,251,283
2017-03-18,1489986292,2403,1692,26,69
2017-03-19,1489986292,1367,884,0,40
2017-03-20,1490537726,4096,2877,0,106
2017-03-21,1490537728,16099,11437,1150,388
2017-03-22,1490537729,9849,7350,114,264
2017-03-23,1490537729,19111,13907,2577,472
